Call: survfit(formula = as.formula(paste("surv_object ~", cat_var)), 
    data = filtered_data)

                treatments_pharmaceutical_treatment_or_therapy=no 
 time n.risk n.event survival std.err lower 95% CI upper 95% CI
    0     25       0    1.000  0.0000        1.000            1
    1     21       0    1.000  0.0000        1.000            1
    2     14       2    0.892  0.0724        0.760            1
    3     10       0    0.892  0.0724        0.760            1
    4      9       0    0.892  0.0724        0.760            1
    5      7       0    0.892  0.0724        0.760            1
    6      5       0    0.892  0.0724        0.760            1
    7      1       1    0.669  0.2005        0.372            1
    8      1       0    0.669  0.2005        0.372            1

                treatments_pharmaceutical_treatment_or_therapy=not reported 
 time n.risk n.event survival std.err lower 95% CI upper 95% CI
    0     18       0   1.0000  0.0000       1.0000        1.000
    1     16       0   1.0000  0.0000       1.0000        1.000
    2     11       2   0.8462  0.1001       0.6711        1.000
    3      9       2   0.6923  0.1280       0.4819        0.995
    4      9       0   0.6923  0.1280       0.4819        0.995
    5      6       2   0.5192  0.1430       0.3026        0.891
    6      6       0   0.5192  0.1430       0.3026        0.891
    7      4       2   0.3462  0.1381       0.1584        0.757
    8      3       1   0.2596  0.1279       0.0989        0.682
    9      3       0   0.2596  0.1279       0.0989        0.682
   10      1       2   0.0865  0.0825       0.0134        0.561

                treatments_pharmaceutical_treatment_or_therapy=yes 
 time n.risk n.event survival std.err lower 95% CI upper 95% CI
    0    158       0    1.000 0.00000        1.000        1.000
    1    140       2    0.987 0.00924        0.969        1.000
    2     90       0    0.987 0.00924        0.969        1.000
    3     63       5    0.926 0.02796        0.873        0.982
    4     49       0    0.926 0.02796        0.873        0.982
    5     38       1    0.902 0.03593        0.834        0.975
    6     29       1    0.875 0.04358        0.794        0.965
    7     23       1    0.844 0.05205        0.748        0.953
    8     15       1    0.797 0.06703        0.676        0.940
    9     12       1    0.736 0.08545        0.586        0.924
   10     10       1    0.675 0.09789        0.508        0.897
   11      9       0    0.675 0.09789        0.508        0.897
   12      8       0    0.675 0.09789        0.508        0.897
   13      7       1    0.590 0.11645        0.401        0.869
   14      5       0    0.590 0.11645        0.401        0.869
   15      5       0    0.590 0.11645        0.401        0.869
   16      4       0    0.590 0.11645        0.401        0.869
   17      4       0    0.590 0.11645        0.401        0.869
   18      3       0    0.590 0.11645        0.401        0.869
   19      2       1    0.394 0.17843        0.162        0.957
   20      1       0    0.394 0.17843        0.162        0.957
   21      1       0    0.394 0.17843        0.162        0.957
   22      1       0    0.394 0.17843        0.162        0.957
   23      1       0    0.394 0.17843        0.162        0.957

