Call: survfit(formula = as.formula(paste("surv_object ~", cat_var)), 
    data = filtered_data)

                strata=HIGH 
 time n.risk n.event survival std.err lower 95% CI upper 95% CI
    0    102       0    1.000  0.0000       1.0000        1.000
    1     91       1    0.990  0.0102       0.9701        1.000
    2     59       0    0.990  0.0102       0.9701        1.000
    3     40       5    0.896  0.0412       0.8186        0.980
    4     32       0    0.896  0.0412       0.8186        0.980
    5     24       2    0.833  0.0576       0.7274        0.954
    6     18       0    0.833  0.0576       0.7274        0.954
    7     13       2    0.735  0.0826       0.5897        0.916
    8      8       1    0.653  0.1064       0.4748        0.899
    9      6       1    0.572  0.1204       0.3783        0.864
   10      4       1    0.476  0.1328       0.2759        0.823
   11      4       0    0.476  0.1328       0.2759        0.823
   12      3       0    0.476  0.1328       0.2759        0.823
   13      3       0    0.476  0.1328       0.2759        0.823
   14      3       0    0.476  0.1328       0.2759        0.823
   15      3       0    0.476  0.1328       0.2759        0.823
   16      2       0    0.476  0.1328       0.2759        0.823
   17      2       0    0.476  0.1328       0.2759        0.823
   18      2       0    0.476  0.1328       0.2759        0.823
   19      1       1    0.238  0.1811       0.0537        1.000
   20      1       0    0.238  0.1811       0.0537        1.000
   21      1       0    0.238  0.1811       0.0537        1.000
   22      1       0    0.238  0.1811       0.0537        1.000
   23      1       0    0.238  0.1811       0.0537        1.000

                strata=LOW 
 time n.risk n.event survival std.err lower 95% CI upper 95% CI
    0     99       0    1.000  0.0000        1.000        1.000
    1     86       1    0.989  0.0107        0.969        1.000
    2     56       4    0.936  0.0278        0.883        0.992
    3     42       2    0.897  0.0380        0.826        0.975
    4     35       0    0.897  0.0380        0.826        0.975
    5     27       1    0.865  0.0483        0.775        0.965
    6     22       1    0.830  0.0574        0.725        0.951
    7     15       2    0.741  0.0789        0.602        0.913
    8     11       1    0.688  0.0893        0.534        0.888
    9      9       1    0.620  0.1036        0.447        0.860
   10      7       2    0.482  0.1177        0.299        0.778
   11      5       1    0.413  0.1193        0.234        0.728
   12      5       0    0.413  0.1193        0.234        0.728
   13      4       1    0.330  0.1207        0.161        0.676
   14      2       0    0.330  0.1207        0.161        0.676
   15      2       0    0.330  0.1207        0.161        0.676
   16      2       0    0.330  0.1207        0.161        0.676
   17      2       0    0.330  0.1207        0.161        0.676
   18      1       0    0.330  0.1207        0.161        0.676
   19      1       0    0.330  0.1207        0.161        0.676

