"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSG00000102316",41472.9605012569,1.63401417801657,0.0942730231512573,17.3327864472412,2.66116934407519e-67,9.89954995995971e-66,"MAGED2"
"ENSG00000198681",104.193599026886,8.01564865809977,0.537387515096846,14.9159562381259,2.5953237546114e-50,5.65642819708095e-49,"MAGEA1"
"ENSG00000179222",17175.57225138,0.924581458811216,0.0758239800321105,12.1937869578947,3.35462198318874e-34,4.13499199083281e-33,"MAGED1"
"ENSG00000213401",150.999169322549,7.56805578763897,0.665216993199148,11.3768226984744,5.45511482455705e-30,5.63427664034222e-29,"MAGEA12"
"ENSG00000177383",3522.71460649972,0.713455057596988,0.0686090277634825,10.3988510091777,2.5094071457194e-25,2.12406527830205e-24,"MAGEF1"
"ENSG00000221867",327.914069957812,6.05405250069872,0.719015664938847,8.41991738971865,3.76749871638093e-17,2.14882209581659e-16,"MAGEA3"
"ENSG00000197172",286.138163403709,5.58927617803936,0.736106587957586,7.59302561541728,3.12520734471833e-14,1.50900293400844e-13,"MAGEA6"
"ENSG00000120289",26.2631789652076,-2.47661290743181,0.335387691690424,-7.38432855108417,1.53224656252772e-13,7.07881322444079e-13,"MAGEB4"
"ENSG00000182798",43.4697483001137,1.88545164015608,0.257751309709769,7.31500314112514,2.5737537110168e-13,1.17077818267449e-12,"MAGEB17"
"ENSG00000155495",53.8085187193838,3.17532668660642,0.434457260287636,7.30872050453057,2.69698083788248e-13,1.22555224460218e-12,"MAGEC1"
"ENSG00000186675",8.08536616978312,-1.19625591683326,0.186304345074963,-6.42097701130869,1.35402477209894e-10,5.17815430813058e-10,"MAGEE2"
"ENSG00000046774",41.274942176356,4.02773758038689,0.648233213567815,6.21340822420777,5.18475197488564e-10,1.90543903533668e-09,"MAGEC2"
"ENSG00000185247",7.95364199842126,1.52550699703385,0.385427214727641,3.9579638871942,7.55913827403822e-05,0.000178099894028712,"MAGEA11"
"ENSG00000099399",3.66023688574927,1.53097554768722,0.500955479137021,3.05611099478256,0.00224228232363037,0.0044121136016039,"MAGEB2"
"ENSG00000124260",13.2274229270885,1.7808601193028,0.598565029673168,2.9752157760957,0.00292782525085134,0.00566837179031421,"MAGEA10"
"ENSG00000176774",0.597058918941286,1.82905853438514,0.698321170536932,2.61922251759716,0.00881304392816615,0.0158183398873976,"MAGEB18"
"ENSG00000156009",10.7905055625909,0.557421979659026,0.227284912689383,2.45252521631658,0.0141857436345564,0.0245778554177952,"MAGEA8"
"ENSG00000198934",489.544684174268,0.20566380949208,0.0868991403440484,2.36669555852708,0.0179476896020112,0.0305425102532818,"MAGEE1"
"ENSG00000189023",0.819853679360445,1.77024031741447,0.782363152027068,2.26268365634023,0.0236551970259038,0.0394108404285499,"MAGEB16"
