id	filename	md5	size	state
03891509-3109-450d-8564-77b024a6128e	03891509-3109-450d-8564-77b024a6128e/75668632-f0c7-495b-ba34-cd4b00aa9450.rna_seq.augmented_star_gene_counts.tsv	ed90acdacf8a0d3bf52f6053adb8d375	4249531	validated
03a1a105-4856-4e5c-b537-508bdbda50b5	03a1a105-4856-4e5c-b537-508bdbda50b5/02bbe1b1-44ff-426b-a40e-47a01bc4cf7d.rna_seq.augmented_star_gene_counts.tsv	b14544f95a55d4916cd5121b61e3bfb8	4250160	validated
0427af63-b665-4c57-874b-65222c200bfe	0427af63-b665-4c57-874b-65222c200bfe/99296d22-e605-49cd-b37f-a1b900be5d53.rna_seq.augmented_star_gene_counts.tsv	b9cd279d7a8f16b93895308e32e423d2	4237528	validated
0437af11-bb89-4901-9764-bb410c2e94c5	0437af11-bb89-4901-9764-bb410c2e94c5/5a61d29b-5ae6-41b6-8842-865463f72990.rna_seq.augmented_star_gene_counts.tsv	99139f15a19876a3be51353113b92e77	4246686	validated
064215bd-9ec9-4a16-8ea2-9c6604156398	064215bd-9ec9-4a16-8ea2-9c6604156398/af83a9af-a11f-4c29-a61f-8f0d2b5868c1.rna_seq.augmented_star_gene_counts.tsv	bfffdb8c2737fa2b2330fd7c474088fe	4253697	validated
0648c6fc-df6d-450a-a5a0-e5655febbdf1	0648c6fc-df6d-450a-a5a0-e5655febbdf1/f532a6be-de3e-420c-960a-23627589e7ad.rna_seq.augmented_star_gene_counts.tsv	e00657cea54665d6777e038af0d8c5f5	4231354	validated
08b0fe4c-ee3c-4510-b75a-6d240cb038cc	08b0fe4c-ee3c-4510-b75a-6d240cb038cc/e5bcd6f9-680e-4d57-81f3-c8e6b40bb2af.rna_seq.augmented_star_gene_counts.tsv	f23675ba05ec4a00ef5d6a304c9e31d9	4255630	validated
097a38f3-a6c5-4267-8648-cd04e2bd9984	097a38f3-a6c5-4267-8648-cd04e2bd9984/265fc9bf-8f99-4422-b78d-78ecf09b0e53.rna_seq.augmented_star_gene_counts.tsv	69d37b39455f47d0947e0b71f4be9d13	4251408	validated
0a511373-8fd3-433a-a5e1-877530d6a239	0a511373-8fd3-433a-a5e1-877530d6a239/5991af25-0b64-43d2-867a-6b9713b17af9.rna_seq.augmented_star_gene_counts.tsv	b2c3b9c92c07f366e07a93c82b3668c4	4237547	validated
0a688b9b-06ea-4b83-bfce-9cee0d866a0c	0a688b9b-06ea-4b83-bfce-9cee0d866a0c/b2bcfd01-9662-4730-96de-1e51b4038802.rna_seq.augmented_star_gene_counts.tsv	bad787cba50515b91198b99c393f093b	4230199	validated
0c068d5a-ccad-47a5-bfe0-0dc5f136d6aa	0c068d5a-ccad-47a5-bfe0-0dc5f136d6aa/bdba14fb-88aa-43b0-8c25-53948b9935b7.rna_seq.augmented_star_gene_counts.tsv	518eace9d4d12dc66d378770abbb0f00	4249842	validated
0d11c50a-8648-48ea-a107-e138a1d3e086	0d11c50a-8648-48ea-a107-e138a1d3e086/bf3ea4a0-bcd6-4e9d-acbb-3416f6ce53b7.rna_seq.augmented_star_gene_counts.tsv	9e98790b2c61a368f8dc97f0d55baf6f	4233362	validated
