"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSG00000123500",8951.48198819157,7.49596085598264,0.234800009749146,31.9248745517137,1.20624541472864e-223,4.99747475322077e-219,"COL10A1"
"ENSG00000099953",17588.5409205955,6.76783137164645,0.218173802205562,31.0203668049468,2.86453031937521e-211,5.93387455658574e-207,"MMP11"
"ENSG00000090889",1749.71177075791,4.45422615296479,0.145908305798506,30.527570919204,1.12251767790218e-204,1.55019691318292e-200,"KIF4A"
"ENSG00000088325",5130.57609608215,3.9486299277817,0.133325876870641,29.6163807091465,9.19503789717259e-193,9.52376050199651e-189,"TPX2"
"ENSG00000117650",1588.60101646258,4.51715194465061,0.15730454881635,28.71596516846,2.41119002229503e-181,1.99791205247366e-177,"NEK2"
"ENSG00000138180",1552.30056703277,3.99249189675805,0.139185066273053,28.6847720352813,5.90889630021137e-181,4.08009289529595e-177,"CEP55"
"ENSG00000077152",1443.45507497851,3.68021376632267,0.128688888014952,28.5977586961128,7.1640594912271e-180,4.24009978173627e-176,"UBE2T"
"ENSG00000087586",1684.67716295728,3.92965941121805,0.139370582186808,28.1957594605643,6.59128696691244e-175,3.41346273798978e-171,"AURKA"
"ENSG00000011426",2994.45406914255,4.17250276362777,0.149025660754805,27.9985523465846,1.69207144227736e-172,7.78916887261679e-169,"ANLN"
"ENSG00000171848",3516.50408575989,4.5952377842696,0.164647051157517,27.9096269988665,2.03881461693424e-171,8.44680895795854e-168,"RRM2"
"ENSG00000123485",977.500201618662,4.06806393103105,0.146986946994186,27.6763618417896,1.34463406324033e-168,5.06438084000428e-165,"HJURP"
"ENSG00000170312",2939.35779862289,3.82235072096249,0.138794348556409,27.5396711805524,5.8839780267596e-167,2.03144341373875e-163,"CDK1"
"ENSG00000134690",1496.79308559782,3.34354631360307,0.12145320683631,27.5295021078313,7.78814444400476e-167,2.4820217255009e-163,"CDCA8"
"ENSG00000169679",1756.33021818723,3.78345888332198,0.138256302773329,27.3655436130456,7.05435228512803e-165,2.08758439409182e-161,"BUB1"
"ENSG00000186871",452.394500841197,3.59989520436696,0.131952742874606,27.2817004477725,6.99376470932173e-164,1.93167781271466e-160,"ERCC6L"
"ENSG00000166851",1914.93252537163,3.77984634232385,0.138693053357236,27.2533212790981,1.51785959480351e-163,3.93030768829434e-160,"PLK1"
"ENSG00000175063",2583.29026096379,4.69842555041258,0.173572228408729,27.0689936603723,2.28290936370695e-161,5.56358440813993e-158,"UBE2C"
"ENSG00000165304",1387.07809833005,4.1771670501846,0.154694279861588,27.0027246897694,1.37293202996596e-160,3.16003188897166e-157,"MELK"
"ENSG00000146410",266.924624636537,3.71461518939964,0.138752997341477,26.7714230364179,6.95445315767965e-158,1.51643681222457e-154,"MTFR2"
